id,title,date_recorded,duration,language_name,category,subcategories,thumbnail_url,audio_url,mp4_url,m3u8_url,speaker_name_first,speaker_name_last
356724,מסר קצר לפורים: עד דלא ידע,2025-03-12,450,Hebrew,Holidays,Purim,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/356724/356724-st0jk8.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/356724/356724-st0j8e.mp3,,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/356724/st0j8e/master.m3u8,Asher,Weiss
356603, מקרא מגילה בפורים משולש,2025-03-11,2966,Hebrew,Holidays,Purim,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/356603/356603-sszfc7.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/356603/356603-sszdl2.mp3,,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/356603/sszdl2/master.m3u8,Asher,Weiss
356026,פורים משולש (יידיש),2025-03-09,3253,Yiddish,Holidays,Purim,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/356026/356026-ssvntr.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/356026/356026-ssvm0l.mp3,,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/356026/ssvm0l/master.m3u8,Asher,Weiss
355699,Short Thought on Purim,2025-03-07,462,English,Holidays,Purim,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/355699/355699-ssqzuq.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/355699/355699-ssqzqh.mp3,,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/355699/ssqzqh/master.m3u8,Asher,Weiss
355712,Purim Meshulash,2025-03-07,2228,English,Holidays,Purim,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/355712/355712-ssr2mk.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/355712/355712-ssr1hh.mp3,,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/355712/ssr1hh/master.m3u8,Asher,Weiss
355545,הלכות נדה #10 וסתות דאורייתא או דרבנן,2025-03-06,2192,Yiddish,Halacha/Jewish Law,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/355545/355545-sspzuw.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/355545/355545-sspyjd.mp3,,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/355545/sspyjd/master.m3u8,Asher,Weiss
355550,מסר קצר לימי הפורים,2025-03-06,567,Hebrew,Holidays,Purim,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/355550/355550-sspzak.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/355550/355550-sspyvd.mp3,,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/355550/sspyvd/master.m3u8,Asher,Weiss
355038,פורים המשולש,2025-03-04,2764,Hebrew,Holidays,Purim,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/355038/355038-ssmek3.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/355038/355038-ssmdcn.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/355038--____02_02_2025__3223950c-6a82-4666-9c6d-6c62b0bb3ff8.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/355038/ssmdcn/master.m3u8,Asher,Weiss
354417,Short Thought on Chodesh Adar,2025-03-02,1093,English,Rosh Chodesh/Jewish Months,Adar,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/354417/354417-sshhye.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/354417/354417-sshhao.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/354417--____02_00_2025__f616077e-8523-434d-8424-d63d7fae62ef.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/354417/sshhao/master.m3u8,Asher,Weiss
354421,Bringing Korbanos Nowadays (David Grossman Yahrtzeit Shiur),2025-03-02,3528,English,Jewish Understanding,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/354421/354421-sshkng.jpg,https://ta-lectures.s3.us-east-005.backblazeb2.com/mp3/354421/354421-sshjgk.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/354421--____02_00_2025__7305cdc5-d85a-4ff1-b2c4-fc5088d07663.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/354421/sshjgk/master.m3u8,Asher,Weiss
354194,הלכות נדה #9 עונה בינונית,2025-02-28,1967,Yiddish,Halacha/Jewish Law,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/354194/354194-ssdr17.jpg,https://dl.torahanytime.com/mp3/354194--____01_05_2025__4b9e74dd-490a-49b5-925c-3cdc2269469d.mp4.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/354194--____01_05_2025__4b9e74dd-490a-49b5-925c-3cdc2269469d.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/354194/ssdqja/master.m3u8,Asher,Weiss
354229,Short Thought for Shabbos Rosh Chodesh,2025-02-28,543,English,Rosh Chodesh/Jewish Months,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/354229/354229-sse28z.jpg,https://dl.torahanytime.com/mp3/354229--____01_05_2025__0fa55072-3735-4b35-ac39-6a72b96e3f49.mp4.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/354229--____01_05_2025__0fa55072-3735-4b35-ac39-6a72b96e3f49.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/354229/sse1yx/master.m3u8,Asher,Weiss
354246,Shabbos Rosh Chodesh Davening,2025-02-28,2035,English,Rosh Chodesh/Jewish Months,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/354246/354246-sse5t0.jpg,https://dl.torahanytime.com/mp3/354246--____01_05_2025__be59dd3b-ad4d-488f-a56e-80567f23bf9a.mp4.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/354246--____01_05_2025__be59dd3b-ad4d-488f-a56e-80567f23bf9a.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/354246/sse5a9/master.m3u8,Asher,Weiss
354085, מסר קצר לפרשת תרומה,2025-02-27,475,Hebrew,Parasha/Torah Portion,Terumah,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/354085/354085-ssd0zc.jpg,https://dl.torahanytime.com/mp3/354085--____01_04_2025__55d2cb8c-287f-43be-b456-893f7f8830f8.mp4.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/354085--____01_04_2025__55d2cb8c-287f-43be-b456-893f7f8830f8.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/354085/ssd0hk/master.m3u8,Asher,Weiss
353470,תפילת שבת ראש חודש,2025-02-25,2744,Hebrew,Rosh Chodesh/Jewish Months,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/353470/353470-ss8lev.jpg,https://dl.torahanytime.com/mp3/353470--____01_02_2025__79039e16-4999-4834-8fa6-1b2b5095b71e.mp4.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/353470--____01_02_2025__79039e16-4999-4834-8fa6-1b2b5095b71e.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/353470/ss8lev/master.m3u8,Asher,Weiss
352853,Short Thought on Tefillah,2025-02-21,337,English,Tefillah/Prayer,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/352853/352853-ss10ko.jpg,https://dl.torahanytime.com/mp3/352853--____01_05_2025__8ec02846-86e4-481f-9052-70b337d67e34.mp4.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/352853--____01_05_2025__8ec02846-86e4-481f-9052-70b337d67e34.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/352853/ss10ko/master.m3u8,Asher,Weiss
352856,Parshat Mishpatim: The Mitzvah of Tefillah,2025-02-21,2234,English,Parasha/Torah Portion,Mishpatim,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/352856/352856-ss11g4.jpg,https://dl.torahanytime.com/mp3/352856--____01_05_2025__28de5ac4-a0b0-4b5c-bee9-d1accf26892d.mp4.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/352856--____01_05_2025__28de5ac4-a0b0-4b5c-bee9-d1accf26892d.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/352856/ss11g4/master.m3u8,Asher,Weiss
352727,מסר קצר לפרשת משפטים,2025-02-20,406,Hebrew,Parasha/Torah Portion,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/352727/352727-ss03ll.jpg,https://dl.torahanytime.com/mp3/352727--____01_04_2025__3f3fd03d-9347-42c5-b1d0-0b93d1434889.mp4.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/352727--____01_04_2025__3f3fd03d-9347-42c5-b1d0-0b93d1434889.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/352727/ss03ll/master.m3u8,Asher,Weiss
352435,Agudah Yerushalayim Yarchei Kallah 5785: Wednesday Shiur Iyun ,2025-02-19,2925,English,Halacha/Jewish Law,Monetary Halacha,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/352435/352435-srxxoy.jpg,https://dl.torahanytime.com/mp3/352435--____01_03_2025__8a37effc-076c-41b2-b172-282d628f1368.mp4.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/352435--____01_03_2025__8a37effc-076c-41b2-b172-282d628f1368.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/352435/srxxoy/master.m3u8,Asher,Weiss
352195,Agudah Yerushalayim Yarchei Kallah 5785: Monday Hakdama Shiur,2025-02-18,4034,English,Halacha/Jewish Law,Monetary Halacha,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/352195/352195-srw2np.jpg,https://dl.torahanytime.com/mp3/352195--____01_02_2025__a5b9d44d-a6d9-46a1-8f5b-b0560f9ce59d.mp4.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/352195--____01_02_2025__a5b9d44d-a6d9-46a1-8f5b-b0560f9ce59d.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/352195/srw2np/master.m3u8,Asher,Weiss
352013,פרשת משפטים: מצוות תפילה,2025-02-17,3211,Hebrew,Parasha/Torah Portion,Mishpatim,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/352013/352013-srui49.jpg,https://dl.torahanytime.com/mp3/352013--____01_01_2025__12e7cf08-b201-43ba-bac5-9795629c6916.mp4.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/352013--____01_01_2025__12e7cf08-b201-43ba-bac5-9795629c6916.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/352013/srui49/master.m3u8,Asher,Weiss
351806,Shiur in the Yeshiva of South Florida: The Three Fundamentals of קנין התורה,2025-02-16,2342,English,Jewish Understanding,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/audio.jpg,https://dl.torahanytime.com/mp3/351806--____01_00_2025__70cc182e-e689-481c-b08c-04cb02e1ff99.mp3.mp3,,,Asher,Weiss
351428,Pardes Shlomo Daily: Harav Asher Weiss - Parshas Yisro,2025-02-15,428,English,Parasha/Torah Portion,Yitro,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/351428/351428-sro4u4.jpg,https://dl.torahanytime.com/mp3/351428--____01_05_2025__be577094-5bce-4873-9f2d-611e55a8374d.mp3.mp3,,,Asher,Weiss
351106,"Shiur in Boca Raton Florida: Klal Yisroel at War - Thoughts, Insights & Halachic Questions",2025-02-13,2294,English,Response to Tragic Events,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/351106/351106-srlysa.jpg,https://dl.torahanytime.com/mp3/351106--____01_04_2025__3689b479-ad42-4b03-85a0-8507d2d18611.mp4.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/351106--____01_04_2025__3689b479-ad42-4b03-85a0-8507d2d18611.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/351106/srlysa/master.m3u8,Asher,Weiss
349310,שיעור בברזיל: הידור מצווה,2025-02-08,1961,Hebrew,Halacha/Jewish Law,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/349310/349310-srdnyy.jpg,https://dl.torahanytime.com/mp3/349310--____01_06_2025__6e2eb006-c6b5-4b47-bcc3-3efccb2f4d9d.mp4.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/349310--____01_06_2025__6e2eb006-c6b5-4b47-bcc3-3efccb2f4d9d.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/349310/srdnyy/master.m3u8,Asher,Weiss
349168,Pardes Shlomo Daily: Harav Asher Weiss - Shabbos Shira,2025-02-07,408,English,Parasha/Torah Portion,Beshalach,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/audio.jpg,https://dl.torahanytime.com/mp3/349168--____01_05_2025__757d5aa0-956e-4477-9ccd-9a4da4e65a44.mp3.mp3,,,Asher,Weiss
348911,Shiur in Brazil: Seeing Miracles in Our Daily Lives,2025-02-06,1828,English,Jewish Understanding,,https://ta-lectures.s3.us-east-005.backblazeb2.com/thumbnails/348911/348911-sr9kdk.jpg,https://dl.torahanytime.com/mp3/348911--____01_04_2025__0834bad7-0948-44c2-94b5-53e6df94c71f.mp4.mp3,https://ta-lectures.s3.us-east-005.backblazeb2.com/mobileres/348911--____01_04_2025__0834bad7-0948-44c2-94b5-53e6df94c71f.mp4,https://ta-lectures.s3.us-east-005.backblazeb2.com/hls/348911/sr9kdk/master.m3u8,Asher,Weiss
